 id_orden_producto; numero_orden; id_producto2
1;1;1
2;1;2
3;1;3
4;1;4
5;1;5
6;1;6
7;17;7
8;17;8
9;17;9
10;17;10
11;17;11
12;17;12
13;17;13
14;17;14
15;17;15
16;17;16
17;17;17
18;17;18
19;17;19
20;17;20
21;17;21
22;17;22
23;17;23
24;17;24
25;17;25
26;1;26
27;1;27
28;1;28
29;1;29
30;1;30
31;1;31
32;1;32
33;1;33
34;1;34
35;6;35
36;6;36
37;6;37
38;6;38
39;6;39
40;6;40
41;6;41
42;6;42
43;6;43
44;6;44
45;6;45
46;6;46
47;6;47
48;6;48
49;6;49
50;6;50
51;6;51
52;6;52
53;2;53
54;2;54
55;2;55
56;2;56
57;2;57
58;2;58
59;2;59
60;2;60
61;2;6
62;2;62
63;2;63
64;2;64
65;2;65
66;2;66
67;2;67
68;2;68
69;2;69
70;5;
71;5;
72;5;
73;5;
74;5;
75;5;
76;5;
77;5;
78;5;
79;5;
80;5;
81;5;
82;5;
83;4;
84;4;
85;4;
86;4;
87;4;
88;6;
89;6;
90;6;
91;6;
92;6;
93;6;
94;6;
95;6;
96;6;
97;6;
98;6;
99;6;
100;6;
101;6;
102;6;
103;6;
104;2;
105;2;
106;2;
107;2;
108;2;
109;2;
110;2;
111;2;
112;2;
113;2;
114;2;
115;2;
116;2;
117;14;
118;14;
119;14;
120;14;
121;14;
122;14;
123;14;
124;14;
125;14;
126;14;
127;14;
128;14;
129;14;
130;14;
131;14;
132;9;
133;9;
134;9;
135;9;
136;9;
137;9;
138;9;
139;9;
140;9;
141;9;
142;12;
143;12;
144;12;
145;12;
146;12;
147;12;
148;12;
149;12;
150;12;
151;12;
152;12;
153;12;
154;12;
155;12;
156;12;
157;12;
158;12;
159;4;
160;4;
161;4;
162;4;
163;4;
164;4;
165;4;
166;4;
167;4;
168;10;
169;10;
170;10;
171;10;
172;10;
173;10;
174;8;
175;8;
176;8;
177;8;
178;8;
179;8;
180;8;
181;8;
182;8;
183;8;
184;8;
